name,manufacturer,price,interfaceType,,formFactor,protocol,capacity,capacityGBs,isNVMe,URL
Orico Y-20,Orico,$71.98 ,SATA 6.0 Gb/s,,"2.5""",SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/ChgZxr/orico-y-20-1-tb-25-solid-state-drive-y20-1t
TEAMGROUP MP44,TEAMGROUP,$316.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/CVWJ7P/teamgroup-mp44-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpw004t0c101
Patriot Burst Elite,Patriot,$27.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,240 GB,240,FALSE,https://pcpartpicker.com/product/NshFf7/patriot-burst-elite-240-gb-25-solid-state-drive-pbe240gs25ssdr
Gigabyte AORUS Gen5 14000,Gigabyte,$169.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/g4zXsY/gigabyte-aorus-gen5-14000-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ag514k1tb
Corsair MP600 PRO LPX,Corsair,$209.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/cXHqqs/corsair-mp600-pro-lpx-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f2000gbmp600plpw
TEAMGROUP T-Create Classic C47,TEAMGROUP,$169.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/zHgrxr/teamgroup-t-create-classic-c47-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffc002t0c129
TEAMGROUP NV5000,TEAMGROUP,$96.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/mk8Pxr/teamgroup-nv5000-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fgm001t0c101
SK Hynix Platinum P41,SK Hynix,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/chcG3C/sk-hynix-platinum-p41-500-gb-m2-2280-nvme-solid-state-drive-shpp41-500gm-2
Kingston NV2,Kingston,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,250 GB,250,TRUE,https://pcpartpicker.com/product/KQXJ7P/kingston-nv2-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s250g
Inland QN450,Inland,$159.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/wQZWGX/inland-qn450-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-2tb-qn450
Kingston SSDNow V300,Kingston,$44.99+,SATA 6.0 Gb/s,,"2.5""",SATA,120 GB,120,FALSE,https://pcpartpicker.com/product/rtzv6h/kingston-internal-hard-drive-sv300s37a120g
Corsair MP700 PRO XT,Corsair,$459.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/fHKnTW/corsair-mp700-pro-xt-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f40gbmp700pxnh
ADATA Legend 800,ADATA,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/bzyH99/adata-legend-800-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-aleg-800-2000gcs
Gigabyte AORUS Gen5 14000,Gigabyte,N/A,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/jPRwrH/gigabyte-aorus-gen5-14000-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ag514k4tb
Kingston NV2,Kingston,$379.00+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/CKpQzy/kingston-nv2-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s4000g
ADATA XPG GAMMIX S70 Blade,ADATA,$996.90 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,8 TB,8000,TRUE,https://pcpartpicker.com/product/6NCZxr/adata-xpg-gammix-s70-blade-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-agammixs70b-8000g-cs
Orico Y-20,Orico,$139.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,2 TB,2000,FALSE,https://pcpartpicker.com/product/cK4Pxr/orico-y-20-2-tb-25-solid-state-drive-y20-2t
KIOXIA EXCERIA w/Heatsink,KIOXIA,$179.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/gh7MnQ/kioxia-exceria-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lsc11k2t04g8
Kingston A2000,Kingston,$68.59 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,250 GB,250,TRUE,https://pcpartpicker.com/product/3vWBD3/kingston-a2000-250-gb-m2-2280-nvme-solid-state-drive-sa2000m8250g
Western Digital Blue,Western Digital,$134.99 ,M.2 SATA,,M.2-2280,SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/DgJtt6/western-digital-blue-1tb-m2-2280-solid-state-drive-wds100t2b0b
KingSpec XG7000,KingSpec,$58.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/Mtrqqs/kingspec-xg7000-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-xg-7000-512gb
KIOXIA EXCERIA G2,KIOXIA,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/qBVmP6/kioxia-exceria-g2-1-tb-m2-2280-nvme-solid-state-drive-lrc20z001tg8
Crucial BX500,Crucial,$69.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,480 GB,480,FALSE,https://pcpartpicker.com/product/8R66Mp/crucial-bx500-480gb-25-solid-state-drive-ct480bx500ssd1
Patriot P320,Patriot,$56.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/ckjv6h/patriot-p320-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-p320p512gm28
Samsung 970 Evo,Samsung,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,250 GB,250,TRUE,https://pcpartpicker.com/product/dkHRsY/samsung-970-evo-250gb-m2-2280-solid-state-drive-mz-v7e250bw
Patriot P320,Patriot,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,256 GB,256,TRUE,https://pcpartpicker.com/product/Cw7MnQ/patriot-p320-256-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-p320p256gm28
Corsair MP600 CORE XT,Corsair,$313.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/Y9GhP6/corsair-mp600-core-xt-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f4000gbmp600cxt
Nextorage NEM-PAC,Nextorage,$299.99+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/pxHp99/nextorage-nem-pac-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-nem-pac4tbn-sym
Samsung 980 Pro,Samsung,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,250 GB,250,TRUE,https://pcpartpicker.com/product/MBVG3C/samsung-980-pro-250-gb-m2-2280-nvme-solid-state-drive-mz-v8p250bam
Crucial T500 W/Heatsink,Crucial,$128.98 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/wVZXsY/crucial-t500-wheatsink-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct1000t500ssd5
Verbatim Vi3000,Verbatim,$124.69+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/PrNxFT/verbatim-vi3000-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-70873
Samsung 960 Pro,Samsung,$699.99+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/FcGj4D/samsung-960-pro-20tb-m2-2280-solid-state-drive-mz-v6p2t0bw
Corsair MP600 Force Series Gen4,Corsair,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/gCJmP6/corsair-mp600-force-series-gen4-1-tb-m2-2280-solid-state-drive-cssd-f1000gbmp600
KingSpec NX-2280,KingSpec,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/bDYmP6/kingspec-nx-2280-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-nx-2280-512gb
Lexar NM790 w/Heatsink,Lexar,$399.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/B7n9TW/lexar-nm790-wheatsink-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x004t-rn9nu
Intel 660p,Intel,$149.00+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/K6Jtt6/intel-660p-1-tb-m2-2280-nvme-solid-state-drive-ssdpeknw010t801
KIOXIA EXCERIA G2,KIOXIA,$181.71 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/K2ytt6/kioxia-exceria-g2-2-tb-m2-2280-nvme-solid-state-drive-lrc20z002tg8
TEAMGROUP T-FORCE G70 PRO Graphene,TEAMGROUP,$108.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/qJP8TW/teamgroup-t-force-g70-pro-graphene-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffh001t0c129
MSI SPATIUM M461,MSI,$269.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/79NYcf/msi-spatium-m461-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m461-4tb
Samsung 850 Pro,Samsung,N/A,SATA 6.0 Gb/s,,"2.5""",SATA,256 GB,256,FALSE,https://pcpartpicker.com/product/JMPfrH/samsung-internal-hard-drive-mz7ke256bw
Acer FA100,Acer,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/8k8bt6/acer-fa100-512-gb-m2-2280-nvme-solid-state-drive-bl9bwwa119
Gigabyte AORUS Gen4,Gigabyte,$95.72 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/nPjNnQ/gigabyte-aorus-gen4-500-gb-m2-2280-nvme-solid-state-drive-gp-ag4500g
ADATA SU800,ADATA,$57.87 ,SATA 6.0 Gb/s,,"2.5""",SATA,512 GB,512,FALSE,https://pcpartpicker.com/product/V3mxFT/adata-ultimate-su800-512-gb-25-solid-state-drive-asu800ss-512gt-c
MSI SPATIUM M560,MSI,N/A,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/YKnXsY/msi-spatium-m560-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sm560n1tb
MSI SPATIUM M482,MSI,$149.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/T6bRsY/msi-spatium-m482-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m482-pcie-40-nvme-m2-2tb
Timetec 35TTQNM2SATA,Timetec,$78.99 ,M.2 SATA,,M.2-2280,SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/jrn9TW/timetec-35ttqnm2sata-1-tb-m2-2280-sata-solid-state-drive-35ttqnm2sata-1tb
Lexar EQ790,Lexar,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/YXJBD3/lexar-eq790-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-leq790x001t-rnnng
Klevv CRAS C930,Klevv,$118.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/7P7scf/klevv-cras-c930-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-k01tbm2sp0-c93
KIOXIA BG5 SED,KIOXIA,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/vQdG3C/kioxia-bg5-sed-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-kbg5aznv512g
Verbatim Vi5000,Verbatim,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/HLqrxr/verbatim-vi5000-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-31826
Western Digital Blue SA510,Western Digital,$59.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,500 GB,500,FALSE,https://pcpartpicker.com/product/8pvdnQ/western-digital-blue-sa510-500-gb-25-solid-state-drive-wds500g3b0a
Sabrent Rocket,Sabrent,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/N7zkcf/sabrent-1-tb-m2-2280-solid-state-drive-sb-rocket-1tb
Western Digital Black AN1500,Western Digital,$504.96 ,PCIe x8,,PCIe,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/vrbTwP/western-digital-black-an1500-4-tb-pcie-nvme-solid-state-drive-wds400t1x0l
Sabrent Rocket Q,Sabrent,$124.99+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/HmmFf7/sabrent-rocket-q-1-tb-m2-2280-nvme-solid-state-drive-sb-rktq-1tb
Lexar NM710,Lexar,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/V3yH99/lexar-nm710-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm710x001t-rnnng
Samsung 840 Evo,Samsung,$199.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,250 GB,250,,https://pcpartpicker.com/product/BzqdnQ/samsung-internal-hard-drive-mz7te250bw
KingSpec P3,KingSpec,N/A,SATA 6.0 Gb/s,,"2.5""",SATA,512 GB,512,FALSE,https://pcpartpicker.com/product/BJKKHx/kingspec-p3-512-gb-25-solid-state-drive-p3-512gb
Acer FA200,Acer,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/J3DQzy/acer-fa200-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-bl9bwwa124
Lexar NM610PRO,Lexar,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/Z3wmP6/lexar-nm610pro-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm610p001t-rnnng
Corsair MP600 PRO NH,Corsair,$179.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/z2pzK8/corsair-mp600-pro-nh-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f2000gbmp600pnh
ADATA MARS 980 BLADE,ADATA,$141.59 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/NyVfrH/adata-mars-980-blade-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-smar-980b-1tcs
Seagate FireCuda 540,Seagate,$372.25 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/pkwmP6/seagate-firecuda-540-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-zp2000gm3a004
Kingston KC600,Kingston,$60.01+,SATA 6.0 Gb/s,,"2.5""",SATA,512 GB,512,FALSE,https://pcpartpicker.com/product/GbkgXL/kingston-kc600-512-gb-25-solid-state-drive-skc600512g
Samsung 960 Evo,Samsung,$249.99+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/4cyxFT/samsung-960-evo-1tb-m2-2280-solid-state-drive-mz-v6e1t0
Lexar NM790 w/Heatsink,Lexar,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/jsP8TW/lexar-nm790-wheatsink-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x001t-rn9nu
FanXiang S500 Pro,FanXiang,$69.98 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,512 GB,512,TRUE,https://pcpartpicker.com/product/kQxxFT/fanxiang-s500-pro-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-s500-pro-512gb-m2-ssd
Samsung 950 PRO,Samsung,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,256 GB,256,TRUE,https://pcpartpicker.com/product/FdDzK8/samsung-950-pro-256-gb-m2-2280-nvme-solid-state-drive-mz-v5p256bw
Lexar NM790 w/Heatsink,Lexar,$249.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/zGtLrH/lexar-nm790-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x002t-rn9nu
TEAMGROUP MP44Q,TEAMGROUP,$290.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/trjRsY/teamgroup-mp44q-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffd004t0c101
Corsair MP700 PRO,Corsair,$151.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/mJqrxr/corsair-mp700-pro-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f1000gbmp700pnh
TEAMGROUP T-Force Cardea Z44L,TEAMGROUP,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/8BRYcf/team-t-force-cardea-z44l-1-tb-m2-2280-nvme-solid-state-drive-tm8fpl001t0c127
Inland Professional,Inland,$24.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,120 GB,120,FALSE,https://pcpartpicker.com/product/ZY97YJ/inland-professional-120-gb-25-solid-state-drive-349381
Solidigm P41 Plus,Solidigm,$239.99+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/RqTp99/solidigm-p41-plus-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ssdpfknu020tzx1
PNY CS2130,PNY,$40.99+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/qmcRsY/pny-cs2130-500-gb-m2-2280-nvme-solid-state-drive-m280cs2130-500-rb
Inland TN320,Inland,$99.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/W7hv6h/inland-tn320-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-1tb-tn320-nvme
Seagate BarraCuda Q5,Seagate,$109.99+,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/nkddnQ/seagate-barracuda-q5-1-tb-m2-2280-nvme-solid-state-drive-zp1000cv3a001
GOODRAM PX700,GOODRAM,$193.35+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1.024 TB,1024,TRUE,https://pcpartpicker.com/product/wPdG3C/goodram-px700-1024-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ssdpr-px700-01t-80
Samsung 980,Samsung,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,250 GB,250,TRUE,https://pcpartpicker.com/product/VMbTwP/samsung-980-250-gb-m2-2280-nvme-solid-state-drive-mz-v8v250bam
TEAMGROUP CX2,TEAMGROUP,$146.99 ,SATA 6.0 Gb/s,,"2.5""",SATA,2 TB,2000,FALSE,https://pcpartpicker.com/product/mc848d/team-cx2-2-tb-25-solid-state-drive-t253x6002t0c101
Intenso Top Performance,Intenso,$66.95+,M.2 SATA,,M.2-2280,SATA,512 GB,512,FALSE,https://pcpartpicker.com/product/xRRzK8/intenso-top-performance-512gb-m2-2280-solid-state-drive-3832450
MSI SPATIUM M470,MSI,$89.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/zGt9TW/msi-spatium-m470-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sm470n1tb
TEAMGROUP Z440 Lite,TEAMGROUP,$64.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/DjxxFT/teamgroup-z440-lite-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fft500g0c129
Crucial T700 W/Heatsink,Crucial,$159.99+,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/9xsV3C/crucial-t700-wheatsink-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000t700ssd5
ADATA LEGEND 860,ADATA,$87.15 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/DLV2FT/adata-legend-860-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sleg-860-500gcs
Western Digital WD_BLACK SN8100 w/Heatsink,Western Digital,$299.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/tK2j4D/western-digital-wd_black-sn8100-wheatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-wds200t1xhm
Biwin M350,Biwin,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/7ZqNnQ/biwin-m350-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-bm350nn02tb-rgx
Transcend TS32GSSD370S,Transcend,$29.99+,SATA 6.0 Gb/s,,"2.5""",SATA,32 GB,32,FALSE,https://pcpartpicker.com/product/sXPzK8/transcend-internal-hard-drive-ts32gssd370s
TEAMGROUP T-Force GC PRO,TEAMGROUP,$329.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/GnbRsY/teamgroup-t-force-gc-pro-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-tm8ffl004t0c129
Solidigm P44 Pro,Solidigm,$309.95+,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/X8nypg/solidigm-p44-pro-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ssdpfkkw020x7x1
TEAMGROUP EX2,TEAMGROUP,N/A,SATA 6.0 Gb/s,,"2.5""",SATA,16 TB,16000,FALSE,https://pcpartpicker.com/product/hC88TW/teamgroup-ex2-16-tb-25-solid-state-drive-t253e2016t0c101
Silicon Power Silm S55,Silicon Power,N/A,SATA 6.0 Gb/s,,"2.5""",SATA,480 GB,480,FALSE,https://pcpartpicker.com/product/sz7CmG/silicon-power-internal-hard-drive-sp480gbss3s55s25
Silicon Power P34A60,Silicon Power,$25.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,128 GB,128,TRUE,https://pcpartpicker.com/product/7bYmP6/silicon-power-p34a60-128-gb-m2-2280-nvme-solid-state-drive-sp128gbp34a60m28
Crucial P5 Plus,Crucial,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/9XM48d/crucial-p5-plus-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct500p5pssd8
Western Digital Blue SN570,Western Digital,$119.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/rr8bt6/western-digital-blue-sn570-2-tb-m2-2280-nvme-solid-state-drive-wds200t3b0c
ADATA LEGEND 700,ADATA,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/yjt9TW/adata-legend-700-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-aleg-700-1tcs
PNY CS1031,PNY,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/YYJp99/pny-cs1031-2-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-m280cs1031-2tb-cl
Gigabyte AORUS Gen4 7300 (w/Heatsink),Gigabyte,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/gCyH99/gigabyte-aorus-gen4-7300-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ag4732tb
Gigabyte Gen3 2500E,Gigabyte,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/GsRYcf/gigabyte-gen3-2500e-500-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-g325e500g
Orico D10,Orico,$24.99 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,128 GB,128,TRUE,https://pcpartpicker.com/product/k2m2FT/orico-d10-128-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-d10-128gb
KingSpec P3,KingSpec,N/A,SATA 6.0 Gb/s,,"2.5""",SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/TRcG3C/kingspec-p3-1-tb-25-solid-state-drive-p3-1tb
TEAMGROUP A440 Lite,TEAMGROUP,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/C8BzK8/teamgroup-a440-lite-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffq002t0c129
MSI SPATIUM M580 FROZR,MSI,$329.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/6tgZxr/msi-spatium-m580-frozr-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sm580pn2tbf
Silicon Power A55,Silicon Power,$244.79 ,SATA 6.0 Gb/s,,"2.5""",SATA,4 TB,4000,FALSE,https://pcpartpicker.com/product/TsWmP6/silicon-power-a55-4-tb-25-solid-state-drive-sp004tbss3a55s25
Western Digital Blue SN550,Western Digital,N/A,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,250 GB,250,TRUE,https://pcpartpicker.com/product/jNgQzy/western-digital-blue-sn550-250-gb-m2-2280-nvme-solid-state-drive-wds250g2b0c
Crucial T705 W/Heatsink Limited Edition,Crucial,$250.32+,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/TXqrxr/crucial-t705-wheatsink-limited-edition-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t705ssd5a
