name,manufacturer,price,interfaceType,,formFactor,protocol,capacity,capacityGBs,isNVMe,URL
Corsair MP700 Elite,Corsair,$214.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2 TB,2000,TRUE,https://pcpartpicker.com/product/KMGhP6/corsair-mp700-elite-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f2000gbmp700enh
Western Digital WD Blue SN5000,Western Digital,$289.99 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/XX88TW/western-digital-wd-blue-sn5000-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t4b0e
Samsung 860 Evo,Samsung,$109.00 ,SATA 6.0 Gb/s,,"2.5""",SATA,500 GB,500,FALSE,https://pcpartpicker.com/product/6yKcCJ/samsung-860-evo-500gb-25-solid-state-drive-mz-76e500bam
Crucial T710,Crucial,$420.00+,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,4 TB,4000,TRUE,https://pcpartpicker.com/product/VMXMnQ/crucial-t710-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t710ssd8
Kingston FURY Renegade G5,Kingston,$292.99 ,M.2 PCIe 5.0 X4,,M.2-2280,NVMe,2.048 TB,2048,TRUE,https://pcpartpicker.com/product/ptWmP6/kingston-fury-renegade-g5-2048-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sfyr2s2t0
KIOXIA EXCERIA PLUS G3,KIOXIA,$154.42 ,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/7hZXsY/kioxia-exceria-plus-g3-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lsd10z001tg8
TEAMGROUP MP33 PRO,TEAMGROUP,$131.04 ,M.2 PCIe 3.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/LvGbt6/team-mp33-pro-1-tb-m2-2280-nvme-solid-state-drive-tm8fpd001t0c101
Crucial P3 Plus,Crucial,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,500 GB,500,TRUE,https://pcpartpicker.com/product/vPpzK8/crucial-p3-plus-500-gb-m2-2280-nvme-solid-state-drive-ct500p3pssd8
Lexar NQ780,Lexar,N/A,M.2 PCIe 4.0 X4,,M.2-2280,NVMe,1 TB,1000,TRUE,https://pcpartpicker.com/product/JYWmP6/lexar-nq780-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnq780x001t-rnnnu
Crucial MX500,Crucial,$179.99+,SATA 6.0 Gb/s,,"2.5""",SATA,1 TB,1000,FALSE,https://pcpartpicker.com/product/h3tQzy/crucial-mx500-1tb-25-solid-state-drive-ct1000mx500ssd1
