name,manufacturer,price,series,microarchitecture,coreFamily,socket,coreCount,threadCount,baseClockGHz,boostClockGHz,l2CacheMBs,l3CacheMBs,tdpWatts,integratedGraphics,memoryMaxGBs,supportsEcc,includesCooler,hasSmt,smtType,URL
Intel Core i9-14900K,Intel,$439.68 ,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,32,3.2,6,32 MB,36 MB,125,Intel UHD Graphics 770,192 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k
Intel Core Ultra 7 265K,Intel,$293.99 ,Intel Core Ultra 7,Arrow Lake,Arrow Lake,LGA1851,20,20,3.9,5.5,36 MB,30 MB,125,Intel Xe,256 GB,TRUE,FALSE,FALSE,None,https://pcpartpicker.com/product/mBsV3C/intel-core-ultra-7-265k-39-ghz-20-core-processor-bx80768265k
AMD Ryzen 9 7900X,AMD,$314.99 ,AMD Ryzen 9,Zen 4,Raphael,AM5,12,24,4.7,5.6,12 MB,64 MB,170,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof
Intel Core Ultra 9 285K,Intel,$519.99 ,Intel Core Ultra 9,Arrow Lake,Arrow Lake,LGA1851,24,24,3.7,5.7,40 MB,36 MB,125,Intel Xe,256 GB,TRUE,FALSE,FALSE,None,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k
AMD Ryzen 5 8400F,AMD,$164.99 ,AMD Ryzen 5,Zen 4,Phoenix 1,AM5,6,12,4.2,4.7,6 MB,16 MB,65,None,256 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/DpcgXL/amd-ryzen-5-8400f-42-ghz-6-core-processor-100-100001591box
Intel Core i5-14400F,Intel,$169.99 ,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,10,16,2.5,4.7,9.5 MB,20 MB,65,None,192 GB,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f
AMD Ryzen 7 5800XT,AMD,$183.00 ,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,16,3.8,4.8,4 MB,32 MB,105,None,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/fN88TW/amd-ryzen-7-5800xt-38-ghz-8-core-processor-100-100001582box
Intel Core i7-12700KF,Intel,$199.98 ,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,20,3.6,5,12 MB,25 MB,125,None,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf
AMD Ryzen 5 7600X3D,AMD,$338.11 ,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,4.1,4.7,6 MB,96 MB,65,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof
AMD Ryzen 9 5900X,AMD,$269.00 ,AMD Ryzen 9,Zen 3,Vermeer,AM4,12,24,3.7,4.8,6 MB,64 MB,105,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof
AMD Ryzen 9 9950X,AMD,$529.99 ,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,16,32,4.3,5.7,16 MB,64 MB,170,Radeon,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof
AMD Ryzen 7 3700X,AMD,$199.90+,AMD Ryzen 7,Zen 2,Matisse,AM4,8,16,3.6,4.4,4 MB,32 MB,65,None,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box
Intel Core i5-12600KF,Intel,$169.00+,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,16,3.7,4.9,9.5 MB,20 MB,125,None,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf
AMD Ryzen 7 5800X3D,AMD,N/A,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,8,16,3.4,4.5,4 MB,96 MB,105,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof
AMD Ryzen 5 8500G,AMD,$156.99 ,AMD Ryzen 5,Zen 4,Phoenix 2,AM5,6,12,4.1,5,6 MB,16 MB,65,Radeon 740M,N/A,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box
AMD Ryzen 9 5950X,AMD,$349.99 ,AMD Ryzen 9,Zen 3,Vermeer,AM4,16,32,3.4,4.9,8 MB,64 MB,105,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof
AMD Ryzen 7 5700G,AMD,$184.99 ,AMD Ryzen 7,Zen 3,Cezanne,AM4,8,16,3.8,4.6,4 MB,16 MB,65,Radeon Vega 8,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box
AMD Threadripper 3990X,AMD,$2499.98+,AMD Threadripper,Zen 2,Castle Peak,sTRX4,64,128,2.9,4.3,32 MB,256 MB,280,None,1024 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/KWmFf7/amd-threadripper-3990x-29-ghz-64-core-processor-100-100000163wof
AMD Ryzen 7 7700,AMD,$274.99 ,AMD Ryzen 7,Zen 4,Raphael,AM5,8,16,3.6,5.3,8 MB,32 MB,65,Radeon,128 GB,TRUE,TRUE,TRUE,None,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box
AMD Ryzen 5 5600G,AMD,$141.00 ,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,12,3.9,4.4,3 MB,16 MB,65,Radeon Vega 7,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box
Intel Core Ultra 7 265KF,Intel,$299.00 ,Intel Core Ultra 7,Arrow Lake,Arrow Lake,LGA1851,20,20,3.9,5.5,36 MB,30 MB,125,None,256 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf
AMD Ryzen 7 5700X3D,AMD,N/A,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,8,16,3,4.1,4 MB,96 MB,105,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof
AMD Ryzen 9 9900X3D,AMD,$569.00 ,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,12,24,4.4,5.5,12 MB,128 MB,120,Radeon,192 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof
Intel Core i7-14700KF,Intel,$326.99 ,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,28,3.4,5.6,28 MB,33 MB,125,None,192 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/TWP8TW/intel-core-i7-14700kf-34-ghz-20-core-processor-bx8071514700kf
Intel Core i7-12700K,Intel,$244.99 ,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,20,3.6,5,12 MB,25 MB,125,Intel UHD Graphics 770,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k
