name,price,manufacturer,interfaceType,requiredPowerConnectors,LengthMm,CaseExpansionSlotWidth,TotalSlotWidth,GraphicsProcessor,VramGBs,MemoryType,CoreClockMHz,BoostClockMHz,TdpWatts,Color,CoolingType,HdmiPortCount,DisplayPortCount,profile,URL
MSI GeForce RTX 3060 Ventus 2X 12G,$269.99 ,MSI,PCIe x16,1 x PCIe 8-pin,235,2,2,GeForce RTX 3060 12GB,12,GDDR6,1320,1777,170,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-ventus-2x-12g-geforce-rtx-3060-12gb-12-gb-video-card-rtx3060ventus2x12goc
Asus PRIME,$749.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,306,2,3,GeForce RTX 5070 Ti,16,GDDR7,2300,2482,300,Black / White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/Cpbypg/asus-prime-geforce-rtx-5070-ti-16-gb-video-card-prime-rtx5070ti-16g
Sapphire PULSE,$384.99 ,Sapphire,PCIe x16,1 x PCIe 8-pin,240,2,3,Radeon RX 9060 XT,16,GDDR6,2220,3290,170,Black,2 Fans,2,1,Standard,https://pcpartpicker.com/product/w2WmP6/sapphire-pulse-radeon-rx-9060-xt-16-gb-video-card-11350-03-20g
PowerColor Reaper,$369.99 ,PowerColor,PCIe x16,1 x PCIe 8-pin,200,2,2,Radeon RX 9060 XT,16,GDDR6,2220,3230,160,Black,2 Fans,1,2,Standard,https://pcpartpicker.com/product/fzh2FT/powercolor-reaper-radeon-rx-9060-xt-16-gb-video-card-rx9060xt-16g-a
Gigabyte WINDFORCE OC SFF,$539.99 ,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,282,2,3,GeForce RTX 5070,12,GDDR7,2160,2542,250,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/PxG2FT/gigabyte-windforce-oc-sff-geforce-rtx-5070-12-gb-video-card-gv-n5070wf3oc-12gd
Gigabyte GAMING OC,$679.99 ,Gigabyte,PCIe x16,3 x PCIe 8-pin,288,2,3,Radeon RX 9070 XT,16,GDDR6,2520,3060,304,Black,3 Fans,2,2,Standard,https://pcpartpicker.com/product/h7RnTW/gigabyte-gaming-oc-radeon-rx-9070-xt-16-gb-video-card-gv-r9070xtgaming-oc-16gd
Asus ROG Astral OC,"$3,359.00 ",Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,358,2,4,GeForce RTX 5090,32,GDDR7,2010,2610,575,Black / Silver,4 Fans,2,3,Standard,https://pcpartpicker.com/product/WGG2FT/asus-rog-astral-oc-geforce-rtx-5090-32-gb-video-card-rog-astral-rtx5090-o32g-gaming
ASRock Challenger,$599.99 ,ASRock,PCIe x16,2 x PCIe 8-pin,290,2,3,Radeon RX 9070 XT,16,GDDR6,2400,2970,304,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/Q8sMnQ/asrock-challenger-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-cl-16g
Sapphire PULSE,$649.99 ,Sapphire,PCIe x16,2 x PCIe 8-pin,320,3,3,Radeon RX 9070 XT,16,GDDR6,2400,2970,304,Black,3 Fans,2,2,Standard,https://pcpartpicker.com/product/Bvjv6h/sapphire-pulse-radeon-rx-9070-xt-16-gb-video-card-11348-03-20g
MSI SHADOW 2X OC,$274.99 ,MSI,PCIe x16,1 x PCIe 8-pin,197,2,2,GeForce RTX 5060,8,GDDR7,2280,2535,155,Black / Silver,2 Fans,1,3,Standard,https://pcpartpicker.com/product/Xwkqqs/msi-shadow-2x-oc-geforce-rtx-5060-8-gb-video-card-rtx-5060-8g-shadow-2x-oc
PNY OC,$999.99 ,PNY,PCIe x16,1 x PCIe 16-pin 12VHPWR,329,3,3,GeForce RTX 5080,16,GDDR7,2300,2730,360,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/7z7MnQ/pny-oc-geforce-rtx-5080-16-gb-video-card-vcg508016tfxpb1-o
XFX Swift OC,$389.99 ,XFX,PCIe x16,1 x PCIe 8-pin,290,2,3,Radeon RX 9060 XT,16,GDDR6,2220,3320,160,Black,3 Fans,1,2,Standard,https://pcpartpicker.com/product/cD7MnQ/xfx-swift-oc-radeon-rx-9060-xt-16-gb-video-card-rx-96ts316b7
Gigabyte WINDFORCE SFF,$749.99 ,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,3,GeForce RTX 5070 Ti,16,GDDR7,2452,N/A,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/8PFCmG/gigabyte-windforce-sff-geforce-rtx-5070-ti-16-gb-video-card-gv-n507twf3-16gd
Asus PRIME,$429.99 ,Asus,PCIe x16,1 x PCIe 8-pin,304,2,3,GeForce RTX 5060 Ti,16,GDDR7,2410,2602,180,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/M64Pxr/asus-prime-geforce-rtx-5060-ti-16-gb-video-card-prime-rtx5060ti-16g
Intel Limited Edition,$249.99 ,Intel,PCIe x16,1 x PCIe 8-pin,272,2,2,Arc B580,12,GDDR6,2670,N/A,190,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/Kt62FT/intel-limited-edition-arc-b580-12-gb-video-card-31p06hb0ba
Asus PRIME OC,$649.99 ,Asus,PCIe x16,3 x PCIe 8-pin,312,2,3,Radeon RX 9070 XT,16,GDDR6,2460,3030,304,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/WcHp99/asus-prime-oc-radeon-rx-9070-xt-16-gb-video-card-prime-rx9070xt-o16g
PNY VCNRTX6000ADA-PB,$6899.00+,PNY,PCIe x16,1 x PCIe 16-pin 12VHPWR,267,2,2,RTX 6000 Ada Generation,48,GDDR6,915,2505,300,Black / Gold,1 Fan,0,4,Standard,https://pcpartpicker.com/product/82bRsY/pny-vcnrtx6000ada-pb-rtx-6000-ada-generation-48-gb-video-card-vcnrtx6000ada-pb
Asus DUAL OC,$479.99 ,Asus,PCIe x16,1 x PCIe 8-pin,229,2,3,GeForce RTX 5060 Ti,16,GDDR7,2410,2632,180,Black / Silver,2 Fans,1,3,Standard,https://pcpartpicker.com/product/ss8Pxr/asus-dual-oc-geforce-rtx-5060-ti-16-gb-video-card-dual-rtx5060ti-o16g
Gigabyte GAMING OC,$379.99 ,Gigabyte,PCIe x16,1 x PCIe 8-pin,281,2,2,Radeon RX 9060 XT,16,GDDR6,2220,3320,160,Black,3 Fans,1,2,Standard,https://pcpartpicker.com/product/TcG2FT/gigabyte-gaming-oc-radeon-rx-9060-xt-16-gb-video-card-gv-r9060xtgaming-oc-16gd
Asus PRIME OC,$569.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,306,2,3,GeForce RTX 5070,12,GDDR7,2160,N/A,250,Black / White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/DCy8TW/asus-prime-oc-geforce-rtx-5070-12-gb-video-card-prime-rtx5070-o12g
NVIDIA Founders Edition,$549.99+,NVIDIA,PCIe x16,1 x PCIe 16-pin 12VHPWR,242,2,2,GeForce RTX 5070,12,GDDR7,2160,2510,250,Black / Gray,2 Fans,1,3,Standard,https://pcpartpicker.com/product/m4qNnQ/nvidia-founders-edition-geforce-rtx-5070-12-gb-video-card-900-1g146-2570-000
ASRock Steel Legend,$619.99 ,ASRock,PCIe x16,2 x PCIe 8-pin,298,2,3,Radeon RX 9070 XT,16,GDDR6,2400,2970,304,White / Gray,3 Fans,1,3,Standard,https://pcpartpicker.com/product/RVWmP6/asrock-steel-legend-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-sl-16g
Gigabyte WINDFORCE OC,$299.99 ,Gigabyte,PCIe x16,1 x PCIe 8-pin,199,2,2,GeForce RTX 5060,8,GDDR7,2280,N/A,145,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/F38Pxr/gigabyte-windforce-oc-geforce-rtx-5060-8-gb-video-card-gv-n5060wf2oc-8gd
MSI GAMING TRIO OC,$839.99 ,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,338,2,3,GeForce RTX 5070 Ti,16,GDDR7,2300,2580,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/CgCCmG/msi-gaming-trio-oc-geforce-rtx-5070-ti-16-gb-video-card-geforce-rtx-5070-ti-16g-gaming-trio-oc
XFX Swift OC,$379.99 ,XFX,PCIe x16,1 x PCIe 8-pin,270,2,3,Radeon RX 9060 XT,16,GDDR6,2220,3320,160,Black,2 Fans,1,2,Standard,https://pcpartpicker.com/product/DRYfrH/xfx-swift-oc-radeon-rx-9060-xt-16-gb-video-card-rx-96tsw16bq
Asus PRIME,$999.99+,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,306,2,3,GeForce RTX 5080,16,GDDR7,2300,N/A,360,Black / White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/q6XMnQ/asus-prime-geforce-rtx-5080-16-gb-video-card-prime-rtx5080-16g
MSI SHADOW 2X OC,$519.99 ,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,231,2,3,GeForce RTX 5070,12,GDDR7,2557,N/A,250,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/n9cBD3/msi-shadow-2x-oc-geforce-rtx-5070-12-gb-video-card-rtx-5070-12g-shadow-2x-oc
XFX Swift OC,$409.99 ,XFX,PCIe x16,1 x PCIe 8-pin,290,2,3,Radeon RX 9060 XT,16,GDDR6,2220,3320,160,White,3 Fans,1,2,Standard,https://pcpartpicker.com/product/yny8TW/xfx-swift-oc-radeon-rx-9060-xt-16-gb-video-card-rx-96ts316w7
Gigabyte WINDFORCE OC SFF,"$1,299.99 ",Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,3,GeForce RTX 5080,16,GDDR7,2300,N/A,360,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/8dXMnQ/gigabyte-windforce-oc-sff-geforce-rtx-5080-16-gb-video-card-gv-n5080wf3oc-16gd
MSI VENTUS 2X OC,$149.99 ,MSI,PCIe x16,None,189,2,2,GeForce RTX 3050 6GB,6,GDDR6,1040,1492,70,Black,2 Fans,2,1,Standard,https://pcpartpicker.com/product/TGMMnQ/msi-ventus-2x-oc-geforce-rtx-3050-6gb-6-gb-video-card-rtx-3050-ventus-2x-6g-oc
PNY OC,$749.99 ,PNY,PCIe x16,1 x PCIe 16-pin 12VHPWR,300,3,3,GeForce RTX 5070 Ti,16,GDDR7,2295,2572,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/XRvscf/pny-oc-geforce-rtx-5070-ti-16-gb-video-card-vcg5070t16tfxpb1-o
NVIDIA Founders Edition,N/A,NVIDIA,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,2,GeForce RTX 5090,32,GDDR7,2017,2407,575,Black / Silver,2 Fans,1,3,Standard,https://pcpartpicker.com/product/QD2j4D/nvidia-founders-edition-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-founders-edition
PowerColor Reaper,$633.00 ,PowerColor,PCIe x16,2 x PCIe 8-pin,289,2,2,Radeon RX 9070 XT,16,GDDR6,2400,2970,304,Black / Red,3 Fans,1,3,Standard,https://pcpartpicker.com/product/8ZJBD3/powercolor-reaper-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-16g-a
Asus TUF GAMING OC,$849.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,329,2,4,GeForce RTX 5070 Ti,16,GDDR7,2300,2610,300,Black / Silver,3 Fans,2,3,Standard,https://pcpartpicker.com/product/ybjv6h/asus-tuf-gaming-oc-geforce-rtx-5070-ti-16-gb-video-card-tuf-rtx5070ti-o16g-gaming
XFX Swift,$679.99 ,XFX,PCIe x16,2 x PCIe 8-pin,325,2,4,Radeon RX 9070 XT,16,GDDR6,1660,2970,304,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/T7RnTW/xfx-swift-radeon-rx-9070-xt-16-gb-video-card-rx-97tswf3b9
Sapphire NITRO+,$719.99 ,Sapphire,PCIe x16,1 x PCIe 16-pin 12VHPWR,331,3,4,Radeon RX 9070 XT,16,GDDR6,2520,3060,330,Black,3 Fans,2,2,Standard,https://pcpartpicker.com/product/ZQPv6h/sapphire-nitro-radeon-rx-9070-xt-16-gb-video-card-11348-01-20g
Gigabyte WINDFORCE OC SFF,$799.99 ,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,3,GeForce RTX 5070 Ti,16,GDDR7,2497,N/A,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/gXPv6h/gigabyte-windforce-oc-sff-geforce-rtx-5070-ti-16-gb-video-card-gv-n507twf3oc-16gd
Asus PRIME,$543.00 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,306,2,3,GeForce RTX 5070,12,GDDR7,2160,N/A,250,Black / White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/wtJBD3/asus-prime-geforce-rtx-5070-12-gb-video-card-prime-rtx5070-12g
MSI GAMING TRIO OC,"$2,499.99 ",MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,359,2,4,GeForce RTX 5090,32,GDDR7,2010,N/A,575,Black / Silver,3 Fans,1,3,Standard,https://pcpartpicker.com/product/r7WmP6/msi-gaming-trio-oc-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-32g-gaming-trio-oc
XFX Speedster SWFT 210 Core,$269.99 ,XFX,PCIe x16,1 x PCIe 8-pin,241,2,2,Radeon RX 7600,8,GDDR6,1875,2655,165,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/6jn9TW/xfx-speedster-swft-210-core-radeon-rx-7600-xt-8-gb-video-card-rx-76pswftfy
Zotac Twin Edge OC,$429.99 ,Zotac,PCIe x16,1 x PCIe 8-pin,220,2,2,GeForce RTX 5060 Ti,16,GDDR7,2410,2602,180,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/zWrp99/zotac-twin-edge-oc-geforce-rtx-5060-ti-16-gb-video-card-zt-b50620h-10m
MSI SHADOW 3X OC,"$1,099.99 ",MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,303,2,3,GeForce RTX 5080,16,GDDR7,2300,2655,360,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/dQqNnQ/msi-shadow-3x-oc-geforce-rtx-5080-16-gb-video-card-geforce-rtx-5080-16g-shadow-3x-oc
ASRock Challenger OC,$379.99 ,ASRock,PCIe x16,1 x PCIe 8-pin,249,2,2,Radeon RX 9060 XT,16,GDDR6,2220,3290,160,Black / Silver,2 Fans,1,2,Standard,https://pcpartpicker.com/product/BxRnTW/asrock-challenger-oc-radeon-rx-9060-xt-16-gb-video-card-rx9060xt-cl-16go
NVIDIA Founders Edition,N/A,NVIDIA,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,2,GeForce RTX 5080,16,GDDR7,2300,2620,360,Black / Gray,2 Fans,1,3,Standard,https://pcpartpicker.com/product/87WmP6/nvidia-founders-edition-geforce-rtx-5080-16-gb-video-card-900-1g144-2545-000
Asus TUF GAMING OC,"$1,349.95 ",Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,348,2,4,GeForce RTX 5080,16,GDDR7,2300,N/A,360,Black / Silver,3 Fans,2,3,Standard,https://pcpartpicker.com/product/gTHp99/asus-tuf-gaming-oc-geforce-rtx-5080-16-gb-video-card-tuf-rtx5080-o16g-gaming
XFX GTS XXX,$159.99 ,XFX,PCIe x16,1 x PCIe 8-pin,270,2,2,Radeon RX 580,8,GDDR5,1366,1386,185,Black / Red,2 Fans,1,3,Standard,https://pcpartpicker.com/product/MsWfrH/xfx-gts-xxx-radeon-rx-580-8-gb-video-card-rx-580p8dfd6
Gigabyte WINDFORCE SFF,$999.99 ,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,304,2,3,GeForce RTX 5080,16,GDDR7,2300,N/A,360,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/mGG2FT/gigabyte-windforce-sff-geforce-rtx-5080-16-gb-video-card-gv-n5080wf3-16gd
Gigabyte AORUS MASTER,"$2,749.99 ",Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,360,3,4,GeForce RTX 5090,32,GDDR7,2010,2655,575,White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/rHh2FT/gigabyte-aorus-master-geforce-rtx-5090-32-gb-video-card-gv-n5090aorusm-ice-32gd
MSI VENTUS 2X BLACK OC,$329.99 ,MSI,PCIe x16,1 x PCIe 8-pin,199,2,2,GeForce RTX 4060 ,8,GDDR6,1830,2505,115,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/7s88TW/msi-ventus-2x-black-oc-geforce-rtx-4060-8-gb-video-card-rtx-4060-ventus-2x-black-8g-oc
Asus ROG Astral OC,"$1,744.99 ",Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,358,2,4,GeForce RTX 5080,16,GDDR7,2300,N/A,360,Black / Silver,3 Fans,2,3,Standard,https://pcpartpicker.com/product/FfHp99/asus-rog-astral-oc-geforce-rtx-5080-16-gb-video-card-rog-astral-rtx5080-o16g-gaming
ASRock Challenger OC,$249.99 ,ASRock,PCIe x16,1 x PCIe 8-pin,249,2,2,Arc B580,12,GDDR6,2670,2740,190,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/bYcBD3/asrock-challenger-oc-arc-b580-12-gb-video-card-b580-cl-12go
Gigabyte AERO OC,$859.99 ,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,340,3,4,GeForce RTX 5070 Ti,16,GDDR7,2588,N/A,300,White / Silver,3 Fans,1,3,Standard,https://pcpartpicker.com/product/ttgZxr/gigabyte-aero-oc-geforce-rtx-5070-ti-16-gb-video-card-gv-n507taero-oc-16gd
Gigabyte GAMING OC,$299.99 ,Gigabyte,PCIe x16,1 x PCIe 8-pin,281,2,2,Radeon RX 9060 XT,8,GDDR6,2220,3320,160,Black,3 Fans,1,2,Standard,https://pcpartpicker.com/product/zTpD4D/gigabyte-gaming-oc-radeon-rx-9060-xt-8-gb-video-card-gv-r9060xtgaming-oc-8gd
MSI SHADOW 3X OC,$829.99 ,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,303,2,3,GeForce RTX 5070 Ti,16,GDDR7,2300,2497,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/8VcBD3/msi-shadow-3x-oc-geforce-rtx-5070-ti-16-gb-video-card-g507t-16s3c
PNY OC,$539.96 ,PNY,PCIe x16,1 x PCIe 16-pin 12VHPWR,300,2,3,GeForce RTX 5070,12,GDDR7,2325,2587,250,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/P89nTW/pny-oc-geforce-rtx-5070-12-gb-video-card-vcg507012tfxpb1-o
NVIDIA Founders Edition,$585.00+,NVIDIA,PCIe x16,1 x PCIe 12-pin,242,2,2,GeForce RTX 3060 Ti,8,GDDR6,1410,1670,200,Black / Silver,2 Fans,1,3,Standard,https://pcpartpicker.com/product/wvgQzy/nvidia-geforce-rtx-3060-ti-8-gb-founders-edition-video-card-900-1g142-2520-000
MSI VENTUS 3X OC,$799.99 ,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,303,2,3,GeForce RTX 5070 Ti,16,GDDR7,2300,2497,300,Silver / Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/zcqNnQ/msi-ventus-3x-oc-geforce-rtx-5070-ti-16-gb-video-card-geforce-rtx-5070-ti-16g-ventus-3x-oc
MSI SHADOW 3X OC,$559.00 ,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,303,2,3,GeForce RTX 5070,12,GDDR7,2160,2557,250,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/fxHp99/msi-shadow-3x-oc-geforce-rtx-5070-12-gb-video-card-rtx-5070-12g-shadow-3x-oc
PNY Dual Fan OC,$429.99 ,PNY,PCIe x16,1 x PCIe 8-pin,245,2,2,GeForce RTX 5060 Ti,16,GDDR7,2407,2691,180,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/rrqNnQ/pny-dual-fan-oc-geforce-rtx-5060-ti-16-gb-video-card-vcg5060t16dfxpb1-o
MSI VENTUS 2X PLUS OC,$459.99 ,MSI,PCIe x16,1 x PCIe 8-pin,227,2,2,GeForce RTX 5060 Ti,16,GDDR7,2410,2617,180,Black / Gray,2 Fans,1,3,Standard,https://pcpartpicker.com/product/RM3WGX/msi-ventus-2x-plus-oc-geforce-rtx-5060-ti-16-gb-video-card-rtx-5060-ti-16g-ventus-2x-oc-plus
MSI VENTUS 2X XS OC,$189.99 ,MSI,PCIe x16,1 x PCIe 6-pin,205,2,3,GeForce RTX 3050 8GB,8,GDDR6,1550,1807,115,Black / Gray,2 Fans,1,1,Standard,https://pcpartpicker.com/product/3Xn9TW/msi-ventus-2x-xs-oc-geforce-rtx-3050-8gb-8-gb-video-card-rtx-3050-ventus-2x-xs-8g-oc
Zotac GAMING Twin Edge,$879.99+,Zotac,PCIe x16,1 x PCIe 8-pin,224,2,2,GeForce RTX 3060 12GB,12,GDDR6,1320,1777,170,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/cBPQzy/zotac-geforce-rtx-3060-12-gb-gaming-twin-edge-video-card-zt-a30600e-10m
MSI VENTUS 3X OC BLACK,$749.99 ,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,303,2,3,GeForce RTX 5070 Ti,16,GDDR7,2300,2497,300,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/q6dMnQ/msi-ventus-3x-oc-black-geforce-rtx-5070-ti-16-gb-video-card-geforce-rtx-5070-ti-16g-ventus-3x-oc-black
PowerColor Reaper,$649.99 ,PowerColor,PCIe x16,2 x PCIe 8-pin,289,2,2,Radeon RX 9070,16,GDDR6,2070,2520,220,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/mL9nTW/powercolor-reaper-radeon-rx-9070-16-gb-video-card-rx9070-16g-a
Asus PRIME,$299.99 ,Asus,PCIe x16,1 x PCIe 8-pin,268,2,3,GeForce RTX 5060,8,GDDR7,2280,2527,145,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/k7CCmG/asus-prime-geforce-rtx-5060-8-gb-video-card-prime-rtx5060-8g
Asus DUAL,$389.99 ,Asus,PCIe x16,1 x PCIe 8-pin,202,2,3,Radeon RX 9060 XT,16,GDDR6,2220,3250,160,Black,2 Fans,1,2,Standard,https://pcpartpicker.com/product/4ppD4D/asus-dual-radeon-rx-9060-xt-16-gb-video-card-dual-rx9060xt-16g
ASRock Phantom Gaming OC,$817.20 ,ASRock,PCIe x16,3 x PCIe 8-pin,330,2,3,Radeon RX 7900 XTX,24,GDDR6,2300,2615,355,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/gCBG3C/asrock-phantom-gaming-oc-radeon-rx-7900-xtx-24-gb-video-card-rx7900xtx-pg-24go
Gigabyte GAMING OC,"$1,299.99 ",Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,340,3,4,GeForce RTX 5080,16,GDDR7,2300,N/A,360,Black,3 Fans,0,3,Standard,https://pcpartpicker.com/product/7P3WGX/gigabyte-gaming-oc-geforce-rtx-5080-16-gb-video-card-gv-n5080gaming-oc-16gd
Asus TUF GAMING OC,$869.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,329,2,4,GeForce RTX 5070 Ti,16,GDDR7,2300,2610,300,White / Silver,3 Fans,2,3,Standard,https://pcpartpicker.com/product/Rdrp99/asus-tuf-gaming-oc-geforce-rtx-5070-ti-16-gb-video-card-tuf-rtx5070ti-o16g-white-gaming
Gigabyte GAMING OC,$469.99 ,Gigabyte,PCIe x16,1 x PCIe 8-pin,281,2,2,GeForce RTX 5060 Ti,16,GDDR7,2410,2647,180,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/js8Pxr/gigabyte-gaming-oc-geforce-rtx-5060-ti-16-gb-video-card-gv-n506tgaming-oc-16gd
Asus ROG Astral OC,"$3,399.99 ",Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,358,2,4,GeForce RTX 5090,32,GDDR7,2010,2610,575,White,4 Fans,2,3,Standard,https://pcpartpicker.com/product/FVG2FT/asus-rog-astral-oc-geforce-rtx-5090-32-gb-video-card-rog-astral-rtx5090-o32g-white
MSI VENTUS 2X OC,$289.99 ,MSI,PCIe x16,1 x PCIe 8-pin,197,2,2,GeForce RTX 5060,8,GDDR7,2280,2535,145,Silver / Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/pPgZxr/msi-ventus-2x-oc-geforce-rtx-5060-8-gb-video-card-rtx-5060-8g-ventus-2x-oc
Asus TUF GAMING OC,$599.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,329,2,4,GeForce RTX 5070,12,GDDR7,2160,N/A,250,Black / Silver,3 Fans,2,3,Standard,https://pcpartpicker.com/product/Mf8Pxr/asus-tuf-gaming-oc-geforce-rtx-5070-12-gb-video-card-tuf-rtx5070-o12g-gaming
Asus PRIME OC,$809.99 ,Asus,PCIe x16,1 x PCIe 16-pin 12VHPWR,306,2,3,GeForce RTX 5070 Ti,16,GDDR7,2300,2527,300,Black / White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/c6XMnQ/asus-prime-oc-geforce-rtx-5070-ti-16-gb-video-card-prime-rtx5070ti-o16g
Sapphire PURE,$924.94 ,Sapphire,PCIe x16,2 x PCIe 8-pin,320,3,3,Radeon RX 9070 XT,16,GDDR6,2460,3010,317,White,3 Fans,2,2,Standard,https://pcpartpicker.com/product/TmDnTW/sapphire-pure-radeon-rx-9070-xt-16-gb-video-card-11348-02-20g
XFX Speedster MERC 310 Black Edition,$860.61 ,XFX,PCIe x16,3 x PCIe 8-pin,344,2,3,Radeon RX 7900 XTX,24,GDDR6,2300,2615,355,Black / Silver,3 Fans,1,3,Standard,https://pcpartpicker.com/product/GtXJ7P/xfx-speedster-merc-310-black-edition-radeon-rx-7900-xtx-24-gb-video-card-rx-79xmercb9
Gigabyte AORUS MASTER,"$2,699.99 ",Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,360,3,4,GeForce RTX 5090,32,GDDR7,2010,2655,575,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/kLJBD3/gigabyte-aorus-master-geforce-rtx-5090-32-gb-video-card-gv-n5090aorus-m-32gd
XFX Swift,$679.99 ,XFX,PCIe x16,2 x PCIe 8-pin,325,2,4,Radeon RX 9070 XT,16,GDDR6,1660,2970,304,White,3 Fans,1,3,Standard,https://pcpartpicker.com/product/ZdHp99/xfx-swift-radeon-rx-9070-xt-16-gb-video-card-rx-97tswf3w9
ASRock Challenger D,N/A,ASRock,PCIe x16,1 x PCIe 8-pin,269,2,2,Radeon RX 6600,8,GDDR6,1626,N/A,132,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/D9ytt6/asrock-radeon-rx-6600-8-gb-challenger-d-video-card-rx6600-cld-8g
Gigabyte WINDFORCE,$429.99 ,Gigabyte,PCIe x8,1 x PCIe 8-pin,208,2,2,GeForce RTX 5060 Ti,16,GDDR7,2410,2572,180,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/B7CCmG/gigabyte-windforce-geforce-rtx-5060-ti-16-gb-pcie-x8-video-card-gv-n506twf2-16gd
Gigabyte WINDFORCE OC,$929.99+,Gigabyte,PCIe x16,1 x PCIe 16-pin 12VHPWR,261,2,3,GeForce RTX 4070 SUPER,12,GDDR6X,1980,2505,220,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/HCkH99/gigabyte-windforce-oc-geforce-rtx-4070-super-12-gb-video-card-gv-n407swf3oc-12gd
