name,price,manufacturer,interfaceType,requiredPowerConnectors,LengthMm,CaseExpansionSlotWidth,TotalSlotWidth,GraphicsProcessor,VramGBs,MemoryType,CoreClockMHz,BoostClockMHz,TdpWatts,Color,CoolingType,HdmiPortCount,DisplayPortCount,profile,URL
Gigabyte GAMING OC,N/A,Gigabyte,PCIe x16,1 x PCIe 8-pin + 1 x PCIe 6-pin,280,2,2,GeForce RTX 2060 SUPER,8,GDDR6,1470,1815,175,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/cGXYcf/gigabyte-geforce-rtx-2060-super-8-gb-gaming-oc-video-card-gv-n206sgaming-oc-8gc
MSI GAMING OC,$399.99 ,MSI,PCIe x16,1 x PCIe 16-pin 12VHPWR,247,2,3,GeForce RTX 5060 Ti,8,GDDR7,2410,N/A,180,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/q7CCmG/msi-gaming-oc-geforce-rtx-5060-ti-8-gb-video-card-rtx-5060-ti-8g-gaming-oc
MSI GAMING X,$375.00+,MSI,PCIe x16,1 x PCIe 8-pin,247,2,2,GeForce GTX 1660 SUPER,6,GDDR6,1530,1830,125,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/YC848d/msi-geforce-gtx-1660-super-6-gb-gaming-x-video-card-gtx-1660-super-gaming-x
Asus ROG STRIX TOP,N/A,Asus,PCIe x16,1 x PCIe 8-pin,298,2,3,Radeon RX 580,8,GDDR5,1257,1431,185,Black,3 Fans,2,2,Standard,https://pcpartpicker.com/product/7JdFf7/asus-rog-strix-top-radeon-rx-580-8-gb-video-card-rog-strix-rx580-t8g-gaming
MSI Radeon RX 5500 XT MECH 8G OC,N/A,MSI,PCIe x16,1 x PCIe 8-pin,215,2,2,Radeon RX 5500 XT,8,GDDR6,1647,1845,140,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/ybwkcf/msi-radeon-rx-5500-xt-8-gb-mech-oc-video-card-rx-5500-xt-mech-8g-oc
Gigabyte AORUS MASTER,$757.06+,Gigabyte,PCIe x16,2 x PCIe 8-pin,290,2,3,GeForce RTX 3070,8,GDDR6,1500,1845,220,Black,3 Fans,3,3,Standard,https://pcpartpicker.com/product/dVxbt6/gigabyte-geforce-rtx-3070-8-gb-aorus-master-video-card-gv-n3070aorus-m-8gd
Zotac Twin Edge OC,N/A,Zotac,PCIe x16,1 x PCIe 8-pin,221,2,3,GeForce RTX 4060,8,GDDR6,1830,2475,115,Black / Silver,2 Fans,1,3,Standard,https://pcpartpicker.com/product/mzFmP6/zotac-twin-edge-oc-geforce-rtx-4060-8-gb-video-card-zt-d40600h-10m
Asus TUF GAMING OC,N/A,Asus,PCIe x16,3 x PCIe 8-pin,353,2,4,Radeon RX 7900 XTX,24,GDDR6,2300,2615,355,Black,3 Fans,1,3,Standard,https://pcpartpicker.com/product/mQjBD3/asus-tuf-gaming-oc-radeon-rx-7900-xtx-24-gb-video-card-tuf-rx7900xtx-o24g-gaming
Zotac GAMING Twin Edge OC,N/A,Zotac,PCIe x16,1 x PCIe 8-pin,224,2,2,GeForce RTX 3060 12GB,12,GDDR6,1320,1807,170,Black,2 Fans,1,3,Standard,https://pcpartpicker.com/product/sM8bt6/zotac-geforce-rtx-3060-12-gb-gaming-twin-edge-oc-video-card-zt-a30600h-10m
Sapphire PURE,$999.00+,Sapphire,PCIe x16,2 x PCIe 8-pin,320,2,3,Radeon RX 7800 XT,16,GDDR6,1295,2475,270,White,3 Fans,2,2,Standard,https://pcpartpicker.com/product/nh26Mp/sapphire-pure-radeon-rx-7800-xt-16-gb-video-card-11330-03-20g
Zotac ZT-71115-20L,$79.99 ,Zotac,PCIe x16,None,N/A,1,1,GeForce GT 730,4,DDR3,902,N/A,49,Black / Gold,Fanless,1,0,Standard,https://pcpartpicker.com/product/MHx9TW/zotac-video-card-zt7111520l
Gigabyte AORUS MASTER,$634.71 ,Gigabyte,PCIe x16,2 x PCIe 8-pin + 1 x PCIe 6-pin,324,2,4,GeForce RTX 3070 Ti,8,GDDR6X,1575,1875,290,Black,3 Fans,3,3,Standard,https://pcpartpicker.com/product/DBvdnQ/gigabyte-geforce-rtx-3070-ti-8-gb-aorus-master-video-card-gv-n307taorus-m-8gd
NVIDIA Founders Edition,N/A,NVIDIA,PCIe x16,1 x PCIe 8-pin,267,2,2,GeForce GTX 1070 Ti,8,GDDR5,1607,1683,180,Silver / Black,1 Fan,1,3,Standard,https://pcpartpicker.com/product/4ZrmP6/nvidia-geforce-gtx-1070-ti-8gb-founders-edition-video-card-900-1g411-2510-000
