name,price,manufacturer,size,eps8PinCount,pcie6Plus2PinCount,pcie12PinCount,pcie16Pin12VHPWRCount,sataCount,lengthMm,atx4PinCount,pcie6PinCount,pcie8PinCount,ampMolex4PinCount,outputWattage,efficiencyRating,modularity,color,isFanless,URL
MSI MAG A750GL PCIE5,$87.99 ,MSI,ATX,2,3,0,1,8,140,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5
MSI MAG A850GL PCIE5,$119.99 ,MSI,ATX,2,4,0,1,8,140,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5
MSI MAG A650BN,$72.64 ,MSI,ATX,1,2,0,0,5,140,0,0,0,2,650,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn
Corsair RM850e (2025),$114.99 ,Corsair,ATX,2,3,0,1,6,140,0,0,0,2,850,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/zBbypg/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020296-na
Corsair SF1000 (2024),$199.99 ,Corsair,SFX,2,4,0,1,8,100,0,0,0,3,1000,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257
Montech CENTURY II,$82.90 ,Montech,ATX,2,4,0,1,8,140,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/sqbypg/montech-century-ii-850-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-850w
Corsair RM750e (2025),$93.99 ,Corsair,ATX,2,3,0,1,6,140,0,0,0,2,750,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/jfHp99/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020295-na
MSI MAG A550BN,$62.18 ,MSI,ATX,1,2,0,0,5,140,0,0,0,2,550,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn
Corsair RM1000x (2024),$169.99 ,Corsair,ATX,2,4,0,1,12,160,0,0,0,6,1000,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/XZsV3C/corsair-rm1000x-2024-1000-w-fully-modular-atx-power-supply-cp-9020271-na
Corsair RM850x (2024),$129.99 ,Corsair,ATX,2,3,0,1,8,160,0,0,0,3,850,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na
Corsair SF750 (2024),$149.99 ,Corsair,SFX,2,2,0,1,8,100,0,0,0,3,750,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/TsTZxr/corsair-sf750-2024-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020284
Thermaltake Smart,$39.67 ,Thermaltake,ATX,1,2,0,0,5,140,0,0,0,6,500,80+,No,N/A,FALSE,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500-w-80-certified-atx-power-supply-ps-spd-0500npcwus-w
MSI MAG A850GL PCIE5,$138.99 ,MSI,ATX,2,4,0,1,8,140,0,0,0,4,850,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/LPBzK8/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5-white
Cooler Master MWE GOLD 750 V2 FULL MODULAR,$69.99 ,Cooler Master,ATX,2,4,0,0,12,160,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/sscG3C/cooler-master-mwe-gold-v2-750-w-80-gold-certified-fully-modular-atx-power-supply-mpe-7501-afaag-us
Corsair RM1000e (2025),$149.99 ,Corsair,ATX,2,4,0,1,6,140,0,0,0,2,1000,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/B8YfrH/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020297-na
MSI MAG A650GL,$99.99 ,MSI,ATX,2,4,0,0,6,140,0,0,0,4,650,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/xfV2FT/msi-mag-a650gl-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gl
be quiet! Pure Power 12 M,N/A,be quiet!,ATX,2,4,0,1,6,160,0,0,0,2,1000,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/fKHqqs/be-quiet-pure-power-12-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bn506
Thermaltake Toughpower GX2,$68.98 ,Thermaltake,ATX,1,2,0,0,6,140,0,0,0,3,600,80+ Gold,No,Black,FALSE,https://pcpartpicker.com/product/pG6qqs/thermaltake-toughpower-gx2-600-w-80-gold-certified-atx-power-supply-ps-tpd-0600nnfagu-2
Corsair SF850 (2024),$169.99 ,Corsair,SFX,2,3,0,1,8,100,0,0,0,3,850,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/ZsTZxr/corsair-sf850-2024-850-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020256
Asus ROG THOR 1600T Gaming,$699.99 ,Asus,ATX,2,10,0,1,12,190,0,0,0,6,1600,80+ Titanium,Full,Silver / Black,FALSE,https://pcpartpicker.com/product/7m6p99/asus-rog-thor-1600t-gaming-1600-w-80-titanium-certified-fully-modular-atx-power-supply-90ye00k0-b0na00
Lian Li EDGE,$164.99 ,Lian Li,ATX,2,4,0,1,12,182,0,0,0,4,1000,80+ Platinum,Full,White,FALSE,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white
be quiet! Pure Power 12 M,$109.90 ,be quiet!,ATX,2,4,0,1,6,160,0,0,0,2,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/4XsV3C/be-quiet-pure-power-12-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bn505
Corsair RM650e (2025),$104.99 ,Corsair,ATX,2,3,0,1,6,140,0,0,0,2,650,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/6TBFf7/corsair-rm650e-2025-650-w-fully-modular-atx-power-supply-cp-9020302-na
Cooler Master V850 SFX GOLD,$139.99 ,Cooler Master,SFX,2,4,0,0,8,100,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/Q36qqs/cooler-master-v850-sfx-gold-850-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-8501-sfhagv-us
Asus ROG STRIX 1200P Gaming,$264.99 ,Asus,ATX,2,4,0,1,6,160,0,0,0,3,1200,80+ Platinum,Full,Black / Silver,FALSE,https://pcpartpicker.com/product/qrDnTW/asus-rog-strix-1200p-gaming-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rog-strix-1200p-gaming
Montech CENTURY II,$99.90 ,Montech,ATX,2,6,0,1,12,140,0,0,0,4,1050,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/yJkqqs/montech-century-ii-1050-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-1050w
Corsair CX650M (2021),$69.98 ,Corsair,ATX,2,2,0,0,6,140,0,0,0,4,650,80+ Bronze,Semi,Black,FALSE,https://pcpartpicker.com/product/x96p99/corsair-cx650m-2021-650-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020221-na
be quiet! Pure Power 13 M,$149.90 ,be quiet!,ATX,2,4,0,1,6,160,0,0,0,2,1000,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/PJpD4D/be-quiet-pure-power-13-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bp028us
MSI MAG A750BN PCIE5,$74.98 ,MSI,ATX,2,2,0,1,5,140,0,0,0,2,750,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/bpvD4D/msi-mag-a750bn-pcie5-750-w-80-bronze-certified-atx-power-supply-mag-a750bn-pcie5
be quiet! Pure Power 13 M,$98.80 ,be quiet!,ATX,2,4,0,1,6,160,0,0,0,2,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/yWJBD3/be-quiet-pure-power-13-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bp026us
Corsair RM850x (2021),$209.99+,Corsair,ATX,3,4,0,0,14,160,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na
Corsair RM1000e (2025),$159.99 ,Corsair,ATX,2,4,0,1,6,140,0,0,0,2,1000,N/A,Full,White,FALSE,https://pcpartpicker.com/product/9K2j4D/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020294-na
MSI MPG A1000GS PCIE5,$109.99 ,MSI,ATX,2,1,0,2,8,150,0,0,0,4,1000,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/2kXMnQ/msi-mpg-a1000gs-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000gs-pcie5
Corsair RM850e (2025),$154.99 ,Corsair,ATX,2,3,0,1,6,140,0,0,0,2,850,N/A,Full,White,FALSE,https://pcpartpicker.com/product/K4ZWGX/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020293-na
Corsair RM750e (2025),$109.99 ,Corsair,ATX,2,3,0,1,6,140,0,0,0,2,750,N/A,Full,White,FALSE,https://pcpartpicker.com/product/q3Nscf/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020292-na
Silverstone HELA,N/A,Silverstone,ATX,2,18,1,0,12,180,0,0,0,3,2050,N/A,Full,Black / White,FALSE,https://pcpartpicker.com/product/GMkWGX/silverstone-hela-2050-w-fully-modular-atx-power-supply-sst-ha2050-pt
Super Flower Leadex Titanium,$799.90 ,Super Flower,ATX,2,6,0,4,16,200,0,0,0,4,2800,80+ Titanium,Full,Black,FALSE,https://pcpartpicker.com/product/YNBFf7/super-flower-leadex-titanium-2800-w-80-titanium-certified-fully-modular-atx-power-supply-sf-2800f14hp
Thermaltake Smart,$44.99 ,Thermaltake,ATX,1,2,0,0,6,140,0,0,0,3,600,80+,No,N/A,FALSE,https://pcpartpicker.com/product/6RTrxr/thermaltake-smart-600-w-80-certified-atx-power-supply-ps-spd-0600npcwus-w
Cooler Master MWE Gold 850 - V2,$79.98 ,Cooler Master,ATX,2,4,0,0,12,160,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/tWMTwP/cooler-master-mwe-gold-850-v2-850-w-80-gold-certified-fully-modular-atx-power-supply-mpe-8501-afaag-us
Rosewill VSB,$59.99 ,Rosewill,ATX,2,2,0,1,6,140,0,0,0,3,650,80+ Bronze,Semi,Black,FALSE,https://pcpartpicker.com/product/TZrp99/rosewill-vsb-650-w-80-bronze-certified-semi-modular-atx-power-supply-vsb650
Lian Li EDGE,$161.50 ,Lian Li,ATX,2,4,0,1,12,182,0,0,0,4,1000,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/ZCHqqs/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000
Corsair RM750e (2023),N/A,Corsair,ATX,2,3,0,1,7,140,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/YRJp99/corsair-rm750e-2023-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020262-na
be quiet! Dark Power 13,$239.90 ,be quiet!,ATX,2,4,0,1,13,175,0,0,0,3,1000,80+ Titanium,Full,Black,FALSE,https://pcpartpicker.com/product/Yqqrxr/be-quiet-dark-power-13-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn661
be quiet! Pure Power 13 M,$119.90 ,be quiet!,ATX,2,4,0,1,6,160,0,0,0,2,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/dbRnTW/be-quiet-pure-power-13-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bp027us
MSI A1000G PCIE5,$159.99 ,MSI,ATX,2,6,0,1,12,150,0,0,0,4,1000,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/ZDt9TW/msi-a1000g-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000g-pcie-5
Corsair CX (2023),$64.98 ,Corsair,ATX,1,2,0,0,3,125,0,0,0,2,550,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/f2fxFT/corsair-cx-2023-550-w-80-bronze-certified-atx-power-supply-cp-9020277-na
SeaSonic Focus GX V4 ATX 3 (2024),$139.99 ,SeaSonic,ATX,2,3,0,1,8,140,0,0,0,3,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/TQ88TW/seasonic-focus-gx-atx-30-v4-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850-v4
Lian Li EDGE,$245.99 ,Lian Li,ATX,2,4,0,1,12,182,0,0,0,4,1300,80+ Platinum,Full,White,FALSE,https://pcpartpicker.com/product/6X4Zxr/lian-li-edge-1300-w-80-platinum-certified-fully-modular-atx-power-supply-eg1300-white
Lian Li EDGE,$194.99 ,Lian Li,ATX,2,4,0,1,12,182,0,0,0,4,1300,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/YYkH99/lian-li-edge-1300-w-80-platinum-certified-fully-modular-atx-power-supply-eg1300
Corsair RM1000x,$239.99 ,Corsair,ATX,2,8,0,0,11,180,0,0,0,12,1000,80+ Gold,Full,N/A,,https://pcpartpicker.com/product/Vq38TW/corsair-rm1000x-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020094-na
Gigabyte P650G,N/A,Gigabyte,ATX,2,4,0,0,6,140,0,0,0,3,650,80+ Gold,No,Black,FALSE,https://pcpartpicker.com/product/2QRnTW/gigabyte-p650g-650-w-80-gold-certified-atx-power-supply-gp-p650g
Apevia Galaxy,$54.99 ,Apevia,ATX,2,4,0,0,4,160,0,0,0,4,650,80+ Gold,Semi,Black,FALSE,https://pcpartpicker.com/product/cN26Mp/apevia-galaxy-650-w-80-gold-certified-semi-modular-atx-power-supply-atx-gx650w
Corsair CX750M (2021),$79.98 ,Corsair,ATX,2,4,0,0,8,140,0,0,0,4,750,80+ Bronze,Semi,Black,FALSE,https://pcpartpicker.com/product/JkKKHx/corsair-cx750m-2021-750-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020222-na
Asus TUF Gaming 850G,$144.99+,Asus,ATX,2,3,0,1,5,150,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/MLzhP6/asus-tuf-gaming-850g-850-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s2-b0na00
Thermaltake Toughpower GT,$106.99 ,Thermaltake,ATX,2,4,0,1,6,140,0,0,0,4,850,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/862j4D/thermaltake-toughpower-gt-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpt-0850fnfagu-w
Apevia CAPTAIN,$31.99 ,Apevia,ATX,1,1,0,0,3,140,0,0,0,3,550,N/A,No,Black,FALSE,https://pcpartpicker.com/product/rqmmP6/apevia-captain-550-w-atx-power-supply-captain550
SeaSonic CORE GX ATX 3 (2024),$87.99 ,SeaSonic,ATX,2,2,0,1,6,140,0,0,0,3,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/HGfV3C/seasonic-core-gx-atx-3-2024-750-w-80-gold-certified-fully-modular-atx-power-supply-core-atx-3-gx-750
MSI MPG A850GS PCIE5,$79.99 ,MSI,ATX,2,3,0,1,8,150,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/rGqNnQ/msi-mpg-a850gs-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850gs-pcie5
Corsair HX1500i (2025),$349.99 ,Corsair,ATX,2,5,0,2,8,200,0,0,0,6,1500,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/q98Pxr/corsair-hx1500i-2025-1500-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020309-na
Corsair RM750x (2024),$114.99 ,Corsair,ATX,2,2,0,1,8,160,0,0,0,3,750,N/A,Full,Black,FALSE,https://pcpartpicker.com/product/JPMMnQ/corsair-rm750x-2024-750-w-fully-modular-atx-power-supply-cp-9020285-na
Asus ROG Strix,$214.99 ,Asus,ATX,2,4,0,1,6,150,0,0,0,3,1000,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/kHBFf7/asus-rog-strix-1000-w-80-platinum-certified-fully-modular-atx-power-supply-90ye00w1-b0na00
Thermaltake Toughpower GF1 (2024),$84.99 ,Thermaltake,ATX,2,6,0,0,8,140,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/kVyH99/thermaltake-toughpower-gf1-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-p
Apevia Prestige,$51.99 ,Apevia,ATX,1,2,0,0,4,160,0,0,0,4,600,80+ Gold,No,Black,FALSE,https://pcpartpicker.com/product/xLtKHx/apevia-prestige-600-w-80-gold-certified-atx-power-supply-atx-rp600w
MSI MPG A850G PCIE5,$129.99 ,MSI,ATX,2,6,0,1,8,150,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/nhC48d/msi-mpg-a850g-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850g-pcie5
Corsair RM850,$133.13 ,Corsair,ATX,3,4,0,0,14,160,0,0,0,4,850,80+ Gold,Full,White / Black,FALSE,https://pcpartpicker.com/product/9KGbt6/corsair-rm850-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020232-na
Corsair CX (2023),$71.19 ,Corsair,ATX,1,2,0,0,3,125,0,0,0,2,650,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/nNTZxr/corsair-cx-2023-650-w-80-bronze-certified-atx-power-supply-cp-9020278-na
Lian Li EDGE GOLD,$128.99 ,Lian Li,ATX,2,5,0,1,10,182,0,0,0,6,850,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/h4qNnQ/lian-li-edge-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-eg0850g-white
Thermaltake Smart,$54.99 ,Thermaltake,ATX,1,2,0,0,6,140,0,0,0,5,700,80+,No,N/A,FALSE,https://pcpartpicker.com/product/b8Jkcf/thermaltake-smart-700-w-80-certified-atx-power-supply-ps-spd-0700npcwus-w
NZXT C850 (2024),$114.99 ,NZXT,ATX,2,3,0,1,12,160,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/qDLdnQ/nzxt-c850-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-pa-8g2bb-us
SeaSonic Focus GX V4 ATX 3 (2024),$162.99 ,SeaSonic,ATX,2,3,0,1,8,140,0,0,0,3,1000,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/YkCZxr/seasonic-focus-gx-atx-30-v4-2024-1000-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-1000-v4
SAMA GT,$59.98 ,SAMA,ATX,2,2,0,1,6,140,0,0,0,2,650,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/bqbypg/sama-gt-650-w-80-gold-certified-fully-modular-atx-power-supply-gt650-bkgffxx1-us
MSI MAG A1000GL PCIE5,$139.99 ,MSI,ATX,2,4,0,1,12,150,0,0,0,4,1000,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/gR9wrH/msi-mag-a1000gl-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mag-a1000gl-pcie5
Corsair HX1200i (2025),$299.99 ,Corsair,ATX,2,5,0,2,8,200,0,0,0,6,1200,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/ghjv6h/corsair-hx1200i-2025-1200-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020307-na
Cooler Master MWE Gold 750 V3,$95.99 ,Cooler Master,ATX,2,4,0,1,6,160,0,0,0,2,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/2W26Mp/cooler-master-mwe-gold-750-v3-750-w-80-gold-certified-fully-modular-atx-power-supply-mpx-7503-afag-2buv
Asus TUF Gaming 1000G,$184.99 ,Asus,ATX,2,4,0,1,5,150,0,0,0,4,1000,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/wR2WGX/asus-tuf-gaming-1000g-1000-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s1-b0na00
be quiet! Power Zone 2,$134.90 ,be quiet!,ATX,2,3,0,1,7,160,0,0,0,1,850,80+ Platinum,Full,Black,FALSE,https://pcpartpicker.com/product/JjpD4D/be-quiet-power-zone-2-850-w-80-platinum-certified-fully-modular-atx-power-supply-bp007us
Gigabyte P750GM,N/A,Gigabyte,ATX,2,4,0,0,8,140,0,0,0,3,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/RhH8TW/gigabyte-750-w-80-gold-certified-fully-modular-atx-power-supply-gp-p750gm
MSI MAG A650BE,$59.99 ,MSI,ATX,2,2,0,0,6,140,0,0,0,3,650,80+ Bronze,Semi,Black,FALSE,https://pcpartpicker.com/product/yc26Mp/msi-mag-a650be-650-w-80-bronze-certified-semi-modular-atx-power-supply-mag-a650be
Cooler Master MWE Gold 850 V3,$89.99 ,Cooler Master,ATX,2,4,0,1,6,160,0,0,0,2,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/bTdG3C/cooler-master-mwe-gold-850-v3-850-w-80-gold-certified-fully-modular-atx-power-supply-mpx-8503-afag-2buv
MSI MAG A650GLS PCIE5,$79.98 ,MSI,ATX,2,2,0,1,5,150,0,0,0,2,650,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/DsgZxr/msi-mag-a650gls-pcie5-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gls-pcie5
be quiet! Dark Power Pro 13,$449.90 ,be quiet!,ATX,2,6,0,2,16,200,0,0,0,5,1600,80+ Titanium,Full,Black,FALSE,https://pcpartpicker.com/product/Hxgrxr/be-quiet-dark-power-pro-13-1600-w-80-titanium-certified-fully-modular-atx-power-supply-bn501
be quiet! Pure Power 12 M,$179.89 ,be quiet!,ATX,2,4,0,1,6,160,0,0,0,2,1200,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/FfFmP6/be-quiet-pure-power-12-m-1200-w-80-gold-certified-fully-modular-atx-power-supply-bn513
Corsair RM750x (2018),$154.00 ,Corsair,ATX,2,4,0,0,9,160,0,0,0,2,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/79tQzy/corsair-rm750x-2018-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020179-na
Corsair CX (2023),$89.99 ,Corsair,ATX,1,3,0,0,3,125,0,0,0,2,750,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/NBYRsY/corsair-cx-2023-750-w-80-bronze-certified-atx-power-supply-cp-9020279-na
Corsair RM850e (2023),$98.97 ,Corsair,ATX,2,3,0,1,7,140,0,0,0,4,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/4ZRwrH/corsair-rm850e-2023-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020263-na
Asus ROG LOKI,$309.99 ,Asus,SFX,2,0,0,1,6,125,0,0,2,4,1200,80+ Titanium,Full,Black / White,FALSE,https://pcpartpicker.com/product/JbHqqs/asus-rog-loki-1200-w-80-titanium-certified-fully-modular-sfx-power-supply-rog-loki-1200t-sfx-l-gaming
be quiet! Pure Power 12 M,$97.90 ,be quiet!,ATX,2,2,0,1,5,160,0,0,0,2,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/Yp9wrH/be-quiet-pure-power-12-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bn504
Silverstone SFX,$123.35 ,Silverstone,SFX,1,2,0,0,3,130,0,0,0,2,500,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/vrH48d/silverstone-sfx-500-w-80-gold-certified-fully-modular-sfx-power-supply-sst-sx500-lg
Cooler Master MWE Gold V3,N/A,Cooler Master,ATX,2,4,0,0,6,140,0,0,0,3,650,80+ Gold,No,Black,FALSE,https://pcpartpicker.com/product/8pWmP6/cooler-master-mwe-gold-v3-650-w-80-gold-certified-atx-power-supply-mpe-6502-acaag-3bus
Vetroo 50315153277247,$84.99 ,Vetroo,ATX,2,6,0,1,8,140,0,0,0,6,850,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/BZcBD3/vetroo-50315153277247-850-w-80-gold-certified-fully-modular-atx-power-supply-50315153277247
Apevia Galaxy,$65.98 ,Apevia,ATX,2,4,0,0,4,160,0,0,0,4,850,80+ Gold,Semi,Black,FALSE,https://pcpartpicker.com/product/sjbRsY/apevia-galaxy-850-w-80-gold-certified-semi-modular-atx-power-supply-atx-gx850w
SeaSonic PRIME TX-1600 ATX 3.1,$559.99 ,SeaSonic,ATX,3,6,0,2,18,210,0,0,0,3,1600,80+ Titanium,Full,Black / Silver,FALSE,https://pcpartpicker.com/product/64NYcf/seasonic-prime-tx-1600-atx-31-1600-w-80-titanium-certified-fully-modular-atx-power-supply-atx3-prime-tx-1600
Segotep GN,$54.99 ,Segotep,ATX,2,4,0,0,6,160,0,0,0,5,650,80+ Gold,No,Black,FALSE,https://pcpartpicker.com/product/Tf3NnQ/segotep-gn-650-w-80-gold-certified-atx-power-supply-cp-psu-st-gn650
CoolMax V-400,$24.99+,CoolMax,ATX,0,0,0,0,2,142,1,0,0,3,400,N/A,No,N/A,FALSE,https://pcpartpicker.com/product/3XQypg/coolmax-power-supply-v400
Gigabyte UD850GM,$88.99 ,Gigabyte,ATX,2,4,0,0,8,140,0,0,0,3,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/VTgFf7/gigabyte-ud850gm-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm
SeaSonic FOCUS GX,N/A,SeaSonic,ATX,2,4,0,0,10,140,0,0,0,3,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/97848d/seasonic-focus-gx-750-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-750
Lian Li EDGE GOLD,$116.95 ,Lian Li,ATX,2,5,0,1,10,182,0,0,0,6,850,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/XTBFf7/lian-li-edge-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-eg0850g-black
Rosewill VMG,$79.98 ,Rosewill,ATX,2,3,0,1,8,140,0,0,0,4,750,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/GhBFf7/rosewill-vmg-750-w-80-gold-certified-fully-modular-atx-power-supply-vmg750
SAMA GT,$62.99 ,SAMA,ATX,2,2,0,1,6,140,0,0,0,2,650,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/Wx9nTW/sama-gt-650-w-80-gold-certified-fully-modular-atx-power-supply-gt650-whgffxx1-us
be quiet! Pure Power 12,$80.99 ,be quiet!,ATX,1,2,0,1,5,160,1,0,0,1,650,80+ Gold,No,Black,FALSE,https://pcpartpicker.com/product/3LWJ7P/be-quiet-pure-power-12-650-w-80-gold-certified-atx-power-supply-bp002us
EVGA SuperNOVA 750 G2,N/A,EVGA,ATX,2,4,0,0,9,180,0,0,0,4,750,80+ Gold,Full,N/A,FALSE,https://pcpartpicker.com/product/MfJwrH/evga-supernova-750-g2-750-w-80-gold-certified-fully-modular-atx-power-supply-220-g2-0750-xr
