name,price,manufacturer,size,eps8PinCount,pcie6Plus2PinCount,pcie12PinCount,pcie16Pin12VHPWRCount,sataCount,lengthMm,atx4PinCount,pcie6PinCount,pcie8PinCount,ampMolex4PinCount,outputWattage,efficiencyRating,modularity,color,isFanless,URL
Cooler Master MWE White V2 230V,N/A,Cooler Master,ATX,1,2,0,0,6,140,0,0,0,3,450,80+,No,Black,FALSE,https://pcpartpicker.com/product/tJNgXL/cooler-master-mwe-white-v2-230v-450-w-80-certified-atx-power-supply-mpe-4501-acaaw-eu
Cooler Master i600,N/A,Cooler Master,ATX,1,2,0,0,6,139,0,0,0,3,600,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/ZrZQzy/cooler-master-power-supply-rs600acaab1us
Mars Gaming MP700,N/A,Mars Gaming,ATX,1,2,0,0,4,140,0,0,0,4,700,N/A,No,N/A,FALSE,https://pcpartpicker.com/product/8PtWGX/mars-gaming-mp700-700-w-atx-power-supply-mp700
Corsair VX450,N/A,Corsair,ATX,1,0,0,0,6,140,0,1,0,6,450,80+,No,N/A,FALSE,https://pcpartpicker.com/product/T9V48d/corsair-vx450-450-w-80-certified-atx-power-supply-cmpsu-450vx
Rosewill Capstone,N/A,Rosewill,ATX,2,4,0,0,8,169,0,0,0,5,750,80+ Gold,Semi,N/A,FALSE,https://pcpartpicker.com/product/JYxfrH/rosewill-power-supply-capstone750m
Cooler Master GXII,N/A,Cooler Master,ATX,1,4,0,0,9,139,0,0,0,3,750,80+ Bronze,No,N/A,FALSE,https://pcpartpicker.com/product/JqxfrH/cooler-master-power-supply-rs750acaab1us
In Win IP-S350CQ2-0T,N/A,In Win,ATX,0,0,0,0,3,139,1,1,0,1,350,N/A,No,N/A,FALSE,https://pcpartpicker.com/product/JNh9TW/inwin-power-supply-ips350cq20t
GAMDIAS ASTRAPE M1,N/A,GAMDIAS,ATX,1,2,0,0,5,140,0,0,0,2,550,80+,No,Black / Multicolor,FALSE,https://pcpartpicker.com/product/XF97YJ/gamdias-astrape-m1-550-w-80-certified-atx-power-supply-astrape-m1-550w
Silverstone Strider Titanium,N/A,Silverstone,ATX,1,2,0,0,8,150,0,2,0,3,600,80+ Titanium,Full,N/A,FALSE,https://pcpartpicker.com/product/zTnG3C/silverstone-power-supply-st60fti
be quiet! Dark Power Pro 11,N/A,be quiet!,ATX,2,8,0,0,10,193,0,1,0,8,1200,80+ Platinum,Semi,N/A,FALSE,https://pcpartpicker.com/product/mgwqqs/be-quiet-power-supply-bn255
